02D0640755,Independent,Compliance,Laboratory Corporation Of America,"4015 Lake Otis Parkway, Suite 100",Anchorage,AK,99508,(907) 561-7666
02D0640756,Independent,Compliance,Quest Diagnostics,4120 Laurel Street,Anchorage,AK,99508-4130,(907) 561-7245
02D1037431,Independent,Accreditation,Pathology Associates Arh Laboratory,2801 Debarr Road,Anchorage,AK,99508,(907) 770-2887
02D2130734,Independent,Compliance,Interpath Laboratory Anchorage,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(907) 644-1028
02D2147419,Independent,Registration,Northwest Medical Diagnostic Laboratory LLC,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(360) 520-9512
02D0671921,Independent,Compliance,Kuparuk Medical Clinic,Koc Spine Road,Prudhoe Bay,AK,99734,(907) 659-7230
02D0969249,Independent,Compliance,Alpine Medical Clinic,Alpine Pad,Prudhoe Bay,AK,99734,(907) 670-4100
02D0641234,Independent,Compliance,Quest Diagnostics,1919 Lathrop St Suite 125,Fairbanks,AK,99701,(907) 452-1658
02D2043058,Independent,Accreditation,Cellnetix Pathology/Palmer,2490 S Woodworth Loop Suite 410,Palmer,AK,99645,(206) 576-6132
02D0959385,Independent,Accreditation,Peninsula Pathology Institute,44455 Sterling Highway,Soldotna,AK,99669,(907) 262-3557
01D1057320,Independent,Compliance,Laboratory Corporation Of America Holding,217 Dothan Road,Abbeville,AL,36310-2836,(334) 585-9848
01D0641487,Independent,Compliance,Cytopath Inc,1004 First Street North,Alabaster,AL,35007,(205) 664-9797
01D2125016,Independent,Compliance,Laboratory Corporation Of America Holdings,1022 North 1st Street  Suite 500,Alabaster,AL,35007,(205) 621-8490
01D0641706,Independent,Compliance,Labcorp Of America Holdings,1010 Christine Avenue Suite 100,Anniston,AL,36207,(256) 238-6323
01D2090345,Independent,Compliance,Northeast Alabama Pathology LLC,171 Town Center Drive Suite 1b,Anniston,AL,36205,(254) 241-5450
01D2170323,Independent,Compliance,Laboratory Corporation Of America Holdings,171 Town Center Drive  Suite 6,Anniston,AL,36207,(256) 847-2431
01D2144376,Independent,Compliance,Cytopath At Uab West,995 9th Avenue Sw,Bessemer,AL,35022,(205) 481-7185
01D0301471,Independent,Accreditation,Laboratory Corporation Of America Holding,1801 First Ave South,Birmingham,AL,35233,(205) 581-3500
01D0641549,Independent,Compliance,Uab Ob/Gyn Research And Diagnostic Laboratory,Attention  Gelnda Corley-Topham,Birmingham,AL,35233,(205) 934-5271
01D0641551,Independent,Compliance,Cellular Immunobiology Laboratory,1825 University Blvd   Room 277,Birmingham,AL,35294-2182,(205) 934-5095
01D0641558,Independent,Accreditation,Uab Div Of Infectious Diseases Lab,703 19th Street South  Zrb 242,Birmingham,AL,35294,(205) 934-1451
01D0668136,Independent,Compliance,Uahsf Diagnostic Virology Laboratory,1600 7th Ave S  Suite 771,Birmingham,AL,35233,(205) 638-6690
01D0705477,Independent,Accreditation,Uab Gamete Biology/Andrology Lab,1700 6th Avenue  Wic 9103,Birmingham,AL,35233,(205) 934-1030
01D0715750,Independent,Compliance,Department Of Genetics Cytogenetics Laboratory,720 20th Street South  Kaul 314,Birmingham,AL,35294,(205) 934-9555
01D0864472,Independent,Accreditation,Uab Muscle/Nerve Histopathology Lab,1720 7th Avenue South   Sparks Ctr  Rm 427,Birmingham,AL,35233,(205) 934-2127
01D0875191,Independent,Accreditation,Uab Cellular Therapy Laboratory,620 19th Street South   Spain Wallace  Rm W305,Birmingham,AL,35233-7030,(205) 934-2636
01D0889889,Independent,Accreditation,Emlabs Inc,"1501 Fourth Avenue South, Alley Entrance",Birmingham,AL,35233,(205) 939-9741
01D0956857,Independent,Accreditation,Cunningham Pathology LLC,924 Montclair Road Suite 200,Birmingham,AL,35213,(205) 591-7999
01D0986730,Independent,Accreditation,Skin Pathology Associates,3550 Independence Drive,Birmingham,AL,35209,(205) 949-2800
01D0993817,Independent,Compliance,Laboratory Corporation Of America Holdings,3980 Colonnade Parkway,Birmingham,AL,35243-2382,(205) 795-5160
01D0995095,Independent,Accreditation,Fungal Reference Laboratory,615 18th St South Swb Room W273,Birmingham,AL,35233,(205) 934-7900
01D0999016,Independent,Compliance,Cunningham Pathology,2720 University Blvd,Birmingham,AL,35233,(256) 239-7614
01D1012706,Independent,Compliance,Southern Blood Services Inc,3800 Colonnade Parkway  Suite 200,Birmingham,AL,35243,(205) 967-8189
01D1019850,Independent,Compliance,Metabolic Disease Laboratory,720 20th Street South   Kaul Bldg Rm 648,Birmingham,AL,35233,(205) 934-6370
01D1033019,Independent,Accreditation,Uab Dermatopathology Laboratory,1960 6th Ave South,Birmingham,AL,35294,(205) 934-2518
01D1043216,Independent,Compliance,Uab Biochemical Genetics Lab,720 20th Street South  Kaul 642,Birmingham,AL,35233,(205) 996-4992
01D2042078,Independent,Compliance,Cunningham Pathology,2010 Brookwood Medical Center Drive,Birmingham,AL,35209,(205) 877-1135
01D2042084,Independent,Compliance,Cunningham Pathology LLC,810 St Vincent's Drive,Birmingham,AL,35205,(205) 939-7055
01D2042085,Independent,Compliance,Cunningham Pathology LLC,50 Medical Park East Drive,Birmingham,AL,35235,(205) 838-3197
01D2049864,Independent,Compliance,Southern Lab Partners,3528 Vann Road  Suite 101,Birmingham,AL,35235,(205) 661-0001
01D2058131,Independent,Accreditation,Dermlab,3918 Montclair Rd Suite 105,Birmingham,AL,35213,(205) 705-3550
01D2091573,Independent,Compliance,Southeast Clinical Laboratories,3621 3rd Ave South,Birmingham,AL,35222,(205) 918-7156
01D2111645,Independent,Compliance,Cunningham Pathology,7191 Cahaba Valley Road,Birmingham,AL,35242,(205) 591-7999
01D2139237,Independent,Compliance,Laboratory Corporation Of America Holdings,800 St Vincent's Drive  Suite 500,Birmingham,AL,35205,(205) 271-5663
01D2144684,Independent,Accreditation,Core Diagnostic Laboratories LLC,"1930 Edwards Lake Road, Suite 138",Birmingham,AL,35235,(205) 308-3183
01D2175789,Independent,Registration,American Esoteric Lab-Birmingham,"201 London Parkway, Suite 300",Birmingham,AL,35211,(205) 588-4514
01D2068690,Independent,Compliance,Cunningham Pathology,2525 Hwy 431,Boaz,AL,35957,(205) 591-7999
01D2080446,Independent,Compliance,Laboratory Corporation Of America Holdings,"401 Airport Commons Drive, Suite 404",Calera,AL,35040,(205) 620-2308
01D0895823,Independent,Compliance,Tennessee Valley Regional Laboratory Inc,619 W Grand Ave,Rainbow City,AL,35906,(256) 549-0009
01D0300133,Independent,Accreditation,Cullman Primary Care Pc,1800 Alabama Highway 157  Suite 204,Cullman,AL,35058-1273,(256) 739-0801
01D2042080,Independent,Accreditation,Cunningham Pathology LLC,1912 Al Highway 157,Cullman,AL,35058,(256) 737-2614
01D2085498,Independent,Compliance,Dermatology Clinic Pathology,415 Village Dr,Daphne,AL,36526,(251) 802-6560
01D0302324,Independent,Compliance,Decatur Diagnostic Laboratory Inc,2828 Highway 31 South,Decatur,AL,35603-1538,(256) 355-9045
01D0683443,Independent,Compliance,Valley Pathology LLC,1403 8th St Se,Decatur,AL,35601-3349,(256) 351-9470
01D0951527,Independent,Accreditation,Primepath Pc,1874 Beltline Road Southwest,Decatur,AL,35609,(256) 301-9422
01D0304728,Independent,Compliance,Laboratory Corporation Of America Holdings,1034 Ross Clark Circle Ne  Suite 2,Dothan,AL,36303,(334) 792-0902
